time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
55.0,2165,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.993,3,100,0.0024752475247524753,-3.93475,0.25520618056286437,0.8932216319700254,0.0,12.0,120000.0,0.0,0.0,0.0,0.905,1
92.0,833,0.05434782608695652,0.6793478260869564,25.0,12.0,120000.0,20000.0,3.0,0.0,0.921,2,40,0.0024752475247524753,9.8203,0.25510204081632654,1.0204081632653061,0.0,12.0,120000.0,20000.0,1.0,0.0,0.906,0
78.0,452,0.0,0.3205128205128205,0.0,25.0,400000.0,20000.0,1.0,1.0,0.955,0,0,0.0024752475247524753,9.645299999999999,0.25510204081632654,1.0204081632653061,0.0,25.0,400000.0,20000.0,1.0,1.0,0.906,0
85.0,2180,0.0,0.5147058823529411,0.0,12.0,120000.0,0.0,0.0,0.0,0.937,2,100,0.0024752475247524753,-3.47683375,0.25507598662626396,1.020303946505056,0.0,12.0,120000.0,0.0,0.0,0.0,0.905,1
93.0,1722,0.10752688172043011,0.6720430107526882,0.0,12.0,120000.0,0.0,0.0,1.0,0.919,1,100,0.0024752475247524753,9.815249999999999,0.25252525252525254,1.0101010101010102,0.0,12.0,120000.0,0.0,0.0,1.0,0.905,0
89.0,1720,0.0,0.6320224719101123,0.0,12.0,120000.0,0.0,0.0,1.0,0.928,2,100,0.0024752475247524753,9.648633333333333,0.25252525252525254,1.0101010101010102,0.0,12.0,120000.0,0.0,0.0,1.0,0.906,0
94.0,834,0.10638297872340426,0.7646276595744681,12.5,12.0,120000.0,20000.0,2.0,0.0,0.915,2,100,0.0024752475247524753,9.81515,0.25,1.0625,0.0,12.0,120000.0,20000.0,1.0,0.0,0.903,0
75.0,2175,0.0,0.25,0.0,12.0,120000.0,0.0,0.0,0.0,0.963,2,100,0.0024752475247524753,-3.9349,0.24997497750475178,1.062393654395195,0.0,12.0,120000.0,0.0,0.0,0.0,0.902,1
79.0,1715,0.0,0.3560126582278481,0.0,12.0,120000.0,0.0,0.0,1.0,0.953,2,100,0.0024752475247524753,-3.810317083333333,0.24997497750475178,1.062393654395195,0.0,12.0,120000.0,0.0,0.0,1.0,0.902,1
91.0,1721,0.054945054945054944,0.6524725274725275,0.0,12.0,120000.0,0.0,0.0,1.0,0.924,2,40,0.0024752475247524753,9.648383333333333,0.24752475247524752,1.0829207920792079,0.0,12.0,120000.0,0.0,0.0,1.0,0.901,0
61.0,2168,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.988,3,100,0.0024752475247524753,-3.93505,0.2942330037040993,1.0727244926711954,0.0,12.0,120000.0,0.0,0.0,0.0,0.899,1
80.0,1266,0.0,0.390625,0.0,12.0,120000.0,20000.0,1.0,0.0,0.95,2,100,0.0024752475247524753,-3.85223375,0.29408878599266874,1.1028329474725078,0.0,12.0,120000.0,20000.0,1.0,0.0,0.897,1
81.0,1716,0.0,0.38580246913580246,0.0,12.0,120000.0,0.0,0.0,1.0,0.948,2,100,0.0024752475247524753,-3.8105670833333334,0.29408878599266874,1.1028329474725078,0.0,12.0,120000.0,0.0,0.0,1.0,0.897,1
60.0,817,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.989,3,100,0.0024752475247524753,-3.93515,0.3399378069213474,1.0926572365329026,0.0,12.0,120000.0,20000.0,1.0,0.0,0.897,1
96.0,1274,0.20833333333333334,0.87890625,12.5,12.0,120000.0,20000.0,2.0,0.0,0.911,2,100,0.0024752475247524753,9.773233333333334,0.33980582524271846,1.0922330097087378,0.0,12.0,120000.0,20000.0,1.0,0.0,0.898,0
89.0,2182,0.0,0.6320224719101123,0.0,12.0,120000.0,0.0,0.0,0.0,0.928,2,100,0.0024752475247524753,-3.5189504166666663,0.3397728046041351,1.0921268719418626,0.0,12.0,120000.0,0.0,0.0,0.0,0.896,1
